"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
1996,"X720",2,0,0,2,1,0,1,1,3,0,0
1996,"X730",1,0,1,0,0,0,2,3,1,0,0
1996,"X740",1,0,0,7,8,0,11,9,8,2,5
1996,"X740",2,0,0,2,3,0,4,2,1,0,0
1996,"X760",1,0,0,1,0,1,1,0,2,0,0
1996,"X760",2,0,0,0,0,0,1,1,0,2,1
1996,"X780",1,0,0,1,5,1,8,3,5,1,2
1996,"X780",2,0,0,0,0,0,1,0,0,0,0
1996,"X790",1,0,0,0,0,0,0,0,0,0,1
1996,"X800",1,0,0,0,0,0,2,0,0,0,0
1996,"X800",2,0,1,1,0,0,1,0,0,0,0
1996,"X830",1,0,0,0,0,0,0,0,1,0,0
1996,"X840",1,0,0,0,3,0,6,4,2,0,3
1996,"X840",2,0,0,0,1,0,1,1,0,0,0
1997,"X600",1,0,0,0,1,0,0,0,0,0,0
1997,"X600",2,0,0,0,0,0,1,0,0,0,0
1997,"X610",1,0,0,0,1,0,0,0,0,0,0
1997,"X610",2,0,0,1,0,0,2,0,0,0,0
1997,"X640",1,0,0,0,0,0,3,0,3,0,0
1997,"X640",2,0,0,1,3,0,1,0,1,0,0
1997,"X650",1,0,0,0,0,0,0,0,1,0,0
1997,"X680",1,0,0,0,0,0,0,8,4,2,0
1997,"X680",2,0,0,5,2,0,0,0,0,1,0
1997,"X690",1,0,0,2,3,0,6,4,1,0,0
1997,"X690",2,0,2,1,2,0,1,0,2,0,0
1997,"X700",1,0,4,31,29,3,86,46,48,30,27
1997,"X700",2,0,5,9,8,1,10,11,14,6,5
1997,"X710",1,0,0,1,0,1,0,0,1,0,0
1997,"X710",2,0,0,0,0,0,0,0,0,1,0
1997,"X720",1,0,0,4,5,0,3,3,2,1,2
1997,"X720",2,0,0,1,0,0,1,1,0,0,0
1997,"X730",1,0,0,2,1,0,0,0,0,0,0
1997,"X730",2,0,0,1,0,0,0,0,0,0,0
1997,"X740",1,0,1,4,21,0,17,13,12,2,8
1997,"X740",2,0,4,5,3,0,0,3,1,0,0
1997,"X760",1,0,0,0,0,0,1,1,2,0,0
1997,"X760",2,0,0,0,0,0,2,2,0,1,2
1997,"X780",1,0,0,0,0,0,1,3,1,0,0
1997,"X790",1,0,0,0,0,0,0,0,0,1,0
1997,"X790",2,0,0,0,1,0,0,0,0,0,0
1997,"X800",1,0,0,0,0,0,0,1,1,0,1
1997,"X800",2,0,0,0,0,0,2,1,0,0,0
1997,"X830",1,0,0,0,0,0,1,0,0,0,0
1997,"X840",1,0,0,0,3,0,2,1,2,2,2
1997,"X840",2,0,0,1,0,0,0,0,1,0,1
1998,"X600",1,0,0,0,0,0,1,0,0,0,0
1998,"X610",1,0,0,0,0,0,0,1,0,0,0
1998,"X610",2,0,0,2,0,0,1,1,0,0,1
1998,"X630",1,0,0,0,2,0,0,0,0,0,0
1998,"X630",2,0,0,0,0,0,0,1,0,0,0
1998,"X640",1,0,0,1,1,0,6,5,1,0,0
1998,"X640",2,0,0,0,2,0,0,1,2,0,0
1998,"X670",1,0,0,1,0,0,0,0,0,0,0
1998,"X680",1,0,0,0,2,0,3,4,3,1,1
1998,"X680",2,0,0,2,3,0,3,0,0,0,0
1998,"X690",1,0,1,2,2,0,8,3,5,1,0
1998,"X690",2,0,1,3,2,0,3,1,2,0,0
1998,"X700",1,1,8,29,46,1,61,58,52,27,24
1998,"X700",2,0,4,8,14,0,21,13,21,9,6
1998,"X710",1,0,0,0,0,0,0,0,0,0,1
1998,"X710",2,0,0,0,0,0,0,0,1,0,0
1998,"X720",1,0,1,1,2,0,6,2,2,1,3
1998,"X720",2,0,1,0,0,0,1,0,0,0,0
1998,"X730",1,0,0,0,0,0,4,0,1,1,0
1998,"X730",2,0,0,0,1,0,0,0,0,0,0
1998,"X740",1,0,0,11,9,1,14,8,11,4,3
1998,"X740",2,0,2,0,1,0,3,2,1,0,0
1998,"X760",1,0,0,1,0,0,0,0,1,0,0
1998,"X760",2,0,0,0,0,0,0,1,0,0,3
